id;about_me;favorite_song;favorite_artist;favorite_album
1;../fake-data/blob/hipster.txt;connecting microchip;Handmade;mobile
2;../fake-data/blob/hipster.txt;HDD Fresh intangible;THX applications hacking;Communications
3;../fake-data/blob/hipster.txt;Cambridgeshire Books maximized;architectures transmit;Assistant AGP Generic
4;../fake-data/blob/hipster.txt;Unbranded;Shoes;Account
5;../fake-data/blob/hipster.txt;Dynamic;compressing;Accounts
6;../fake-data/blob/hipster.txt;Creek Functionality;multi-byte Awesome schemas;disintermediate engineer
7;../fake-data/blob/hipster.txt;generate virtual Account;South;invoice Open-architected Key
8;../fake-data/blob/hipster.txt;Florida;index array;override
9;../fake-data/blob/hipster.txt;Cotton;AI Row;feed Romania
10;../fake-data/blob/hipster.txt;Steel Loan;Sleek Incredible;Mississippi Drives deposit
